Nombre del Resort,Rate,Estrellas,Km de Freeride,Continente,Pais,Estado,Altitud,Facil,Intermedio,Dificil,Total de kilometros,Precio,Moneda,Tamaño del resort de esqui,Variedad de pistas,Fiabilidad de la nieve,Orientacion de mapas,Limpieza e higiene,Apres-ski,Snow parks,Esqui de fondo y senderos,pais,latitude,longitude,ISO Code
. Muttereralm – Mutters/Götzens,3.4,2.0,0.0,Europe,Austria,Tyrol (Tirol),1800.0,7.0,8.0,1.0,16,34.5,European Euro,2.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,AT,47.516231,14.550072,AUT
. Wurzeralm – Spital am Pyhrn,3.4,3.0,0.0,Europe,Austria,Upper Austria (Oberosterreich),1870.0,10.0,10.0,2.0,22,40.5,European Euro,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,AT,47.516231,14.550072,AUT
. Ramsau am Dachstein – Rittisberg,3.3,2.0,4.0,Europe,Austria,Styria (Steiermark),1636.0,14.0,10.0,1.0,25,36.5,European Euro,2.0,2.0,3.0,4.0,4.0,2.0,2.0,5.0,AT,47.516231,14.550072,AUT
. Jöchelspitze – Bach,3.3,2.0,0.0,Europe,Austria,Tyrol (Tirol),1800.0,2.5,2.5,0.0,5,33.0,European Euro,1.8,1.8,,,,,,,AT,47.516231,14.550072,AUT
. Grebenzen – St. Lambrecht,3.3,2.0,13.0,Europe,Austria,Styria (Steiermark),1870.0,2.9,9.0,0.3,12,35.0,European Euro,2.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,AT,47.516231,14.550072,AUT
 Ankogel – Mallnitz,3.3,4.0,0.0,Europe,Austria,Carinthia (Karnten),2636.0,2.8,5.0,5.0,12,46.5,European Euro,2.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,AT,47.516231,14.550072,AUT
. Feuerkogel – Ebensee,3.3,3.0,6.0,Europe,Austria,Upper Austria (Oberosterreich),1625.0,4.0,5.0,1.0,10,37.7,European Euro,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,AT,47.516231,14.550072,AUT
. Fanningberg,3.3,3.0,0.8,Europe,Austria,Salzburg (Salzburger Land),2115.0,11.1,5.8,7.1,24,41.0,European Euro,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,AT,47.516231,14.550072,AUT
. Laterns – Gapfohl,3.3,3.0,11.0,Europe,Austria,Vorarlberg,1785.0,8.0,15.0,4.0,27,36.0,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,AT,47.516231,14.550072,AUT
. Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,3.3,3.0,2.5,Europe,Austria,Tyrol (Tirol),1456.0,9.3,7.7,2.5,19,35.5,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,AT,47.516231,14.550072,AUT
. Monte Popolo – Eben im Pongau,3.3,2.0,0.0,Europe,Austria,Salzburg (Salzburger Land),1612.0,4.0,2.0,0.0,6,36.0,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,AT,47.516231,14.550072,AUT
. Hahnenkamm – Höfen/Reutte,3.3,3.0,0.0,Europe,Austria,Tyrol (Tirol),1900.0,5.0,9.0,2.0,16,36.0,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,AT,47.516231,14.550072,AUT
goldeck-spittal-an-der-drau,3.3,,,Europe,Austria,Carinthia (Karnten),2142.0,8.0,9.5,7.5,25,41.0,European Euro,2.8,3.2,,,,,,,AT,47.516231,14.550072,AUT
Nordkette – Innsbruck,3.2,5.0,5.0,Europe,Austria,Tyrol (Tirol),2256.0,0.5,13.0,0.4,13,34.5,European Euro,2.0,3.0,3.0,4.0,4.0,3.0,5.0,1.0,AT,47.516231,14.550072,AUT
. Rangger Köpfl – Oberperfuss,3.2,2.0,0.0,Europe,Austria,Tyrol (Tirol),2000.0,7.0,4.0,2.0,13,29.5,European Euro,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,AT,47.516231,14.550072,AUT
